,Bal,Brick,District,Floor,ID,Kitsp,Lift,Link,Livesp,Metrdist,New,Nfloor,Price,Remont,Tel,Totsp,Walk,dist,lat,lon,rooms
1762,1,0,2,11,1762,10.0,–,http://www.cian.ru/sale/flat/150886788/,20.0,,0,12.0,5300000,косметический,,35.0,,7.118415776758417,55.829375,37.668929,1
1763,1,0,2,7,1763,8.0,1,http://www.cian.ru/sale/flat/149934796/,21.0,15.0,0,12.0,5300000,косметический,0.0,40.0,0.0,13.622485379471733,55.87546,37.722693,1
1764,0,0,2,5,1764,15.0,1,http://www.cian.ru/sale/flat/149887798/,54.3,10.0,0,8.0,15571710,,1.0,69.3,1.0,3.404847466599828,55.800438,37.636706,3
1765,1,0,2,2,1765,10.0,1,http://www.cian.ru/sale/flat/150472536/,75.0,10.0,0,6.0,17634330,,1.0,113.6,1.0,3.404847466599828,55.800438,37.636706,4
1766,–,0,2,9,1766,12.4,1,http://www.cian.ru/sale/flat/38272636/,35.9,15.0,0,9.0,9700000,евроремонт,1.0,69.5,1.0,7.5585086699681145,55.873435,37.612326,2
1767,1,0,2,4,1767,6.0,–,http://www.cian.ru/sale/flat/148339416/,17.0,25.0,0,5.0,5300000,косметический,,30.0,1.0,5.1054082576405735,55.824253,37.598366,1
1768,1,0,2,3,1768,5.8,–,http://www.cian.ru/sale/flat/150411884/,18.8,5.0,0,5.0,5300000,отсутствует,1.0,30.0,0.0,7.245569327244135,55.83525,37.667393,1
1769,1,0,2,2,1769,6.0,1,http://www.cian.ru/sale/flat/150758844/,20.8,15.0,0,9.0,5300000,косметический,1.0,35.0,1.0,10.419814300904829,55.895267,37.57192,1
1770,–,0,2,5,1770,,–,http://www.cian.ru/sale/flat/150495936/,,,1,16.0,5325280,,,33.3,,7.660549733377531,55.848943,37.578073,1
1771,1,0,2,1,1771,7.5,1,http://www.cian.ru/sale/flat/150596326/,16.0,14.0,0,12.0,5350000,косметический,0.0,32.0,1.0,9.139368160821336,55.895848,37.602256,1
1772,–,0,2,1,1772,8.5,1,http://www.cian.ru/sale/flat/150949138/,21.0,5.0,0,12.0,5350000,косметический,1.0,39.6,0.0,7.3075515818924925,55.868056,37.634497,1
